epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.824,1.57296,1.92094,1.65094,0.46414,0.4229,0.38736,0.189,1.75493,2.43304,1.76965,0.000331288,0.000331288,0.0672025
2,220.656,1.59067,1.75877,1.66152,0.49373,0.41807,0.38082,0.17951,1.83352,2.25378,1.8363,0.000658042,0.000658042,0.0341959
3,331.819,1.60631,1.75831,1.66618,0.42159,0.44184,0.37948,0.18366,1.71909,2.10492,1.78745,0.000978196,0.000978196,0.00118269
4,441.955,1.58369,1.69789,1.64202,0.52784,0.4231,0.41368,0.21382,1.67729,1.87126,1.71531,0.0009703,0.0009703,0.0009703
5,552.815,1.54823,1.64544,1.62083,0.58053,0.50805,0.50446,0.25563,1.62013,1.58314,1.64833,0.0009604,0.0009604,0.0009604
6,664.288,1.51885,1.58813,1.5998,0.59132,0.51779,0.50416,0.2646,1.56785,1.65333,1.6355,0.0009505,0.0009505,0.0009505
7,775.241,1.47814,1.53271,1.58277,0.63998,0.52552,0.54667,0.28214,1.55771,1.49262,1.61096,0.0009406,0.0009406,0.0009406
8,885.99,1.478,1.48004,1.57683,0.60095,0.49593,0.51199,0.2754,1.5576,1.54778,1.62507,0.0009307,0.0009307,0.0009307
9,996.208,1.43226,1.41564,1.53225,0.6463,0.52545,0.55827,0.30457,1.5051,1.40479,1.58842,0.0009208,0.0009208,0.0009208
10,1110.81,1.42881,1.40101,1.53698,0.65168,0.54911,0.57655,0.30669,1.50174,1.38469,1.56056,0.0009109,0.0009109,0.0009109
11,1227.56,1.41754,1.37927,1.51844,0.67951,0.59101,0.62616,0.34436,1.44727,1.27959,1.51698,0.000901,0.000901,0.000901
